iter	Passed	Remaining
458	801	944
459	802	941
460	803	939
461	805	937
462	806	935
463	807	933
464	808	930
465	810	928
466	811	926
467	812	923
468	814	921
469	815	919
470	816	917
471	817	914
472	819	912
473	820	910
474	821	907
475	822	905
476	824	903
477	825	901
478	826	899
479	828	897
480	829	894
481	830	892
482	832	890
483	833	888
484	834	886
485	836	884
486	837	882
487	838	880
488	840	877
489	841	875
490	842	873
491	844	871
492	845	869
493	846	867
494	848	865
495	849	863
496	850	860
497	851	858
498	853	856
499	854	854
500	855	852
501	857	850
502	858	848
503	859	845
504	860	843
505	862	841
506	863	839
507	864	837
508	865	835
509	867	833
510	868	831
511	869	829
512	871	827
513	872	825
514	873	822
515	874	820
516	876	818
517	877	816
518	878	814
519	879	812
520	881	810
521	882	808
522	883	805
523	884	803
524	886	802
525	887	800
526	889	798
527	890	795
528	891	793
529	892	791
530	894	789
531	895	787
532	896	785
533	897	783
534	899	781
535	900	779
536	901	777
537	902	775
538	904	773
539	905	771
540	906	769
541	908	767
542	909	765
543	910	763
544	911	761
545	913	759
546	914	757
547	915	755
548	916	753
549	918	751
550	919	749
551	920	747
552	921	745
553	923	743
554	924	741
555	926	739
556	927	737
557	928	735
558	929	733
559	930	731
560	932	729
561	933	727
562	934	725
563	935	723
564	937	721
565	938	719
566	939	717
567	940	715
568	942	713
569	943	711
570	945	710
571	946	708
572	947	706
573	949	704
574	950	702
575	951	700
576	953	698
577	954	696
578	955	694
579	957	693
580	958	691
581	959	689
582	961	687
583	962	685
584	964	684
585	965	682
586	966	680
587	968	678
588	969	676
589	971	674
590	972	672
591	973	670
592	974	668
593	975	666
594	977	665
595	978	663
596	979	661
597	981	659
598	982	657
599	983	655
600	984	653
601	986	651
602	987	650
603	988	648
604	989	646
605	991	644
606	992	642
607	993	640
608	995	638
609	996	637
610	997	635
611	999	633
612	1001	631
613	1002	630
614	1003	628
615	1004	626
616	1006	624
617	1007	622
618	1009	621
619	1010	619
620	1011	617
621	1012	615
622	1014	613
623	1015	612
624	1017	610
625	1018	608
626	1019	606
627	1020	604
628	1021	602
629	1023	600
630	1023	598
631	1024	596
632	1025	594
633	1027	593
634	1028	591
635	1029	589
636	1030	587
637	1031	585
638	1032	583
639	1033	581
640	1034	579
641	1035	577
642	1036	575
643	1037	573
644	1039	571
645	1040	570
646	1041	568
647	1043	566
648	1044	564
649	1045	563
650	1047	561
651	1048	559
652	1049	557
653	1050	555
654	1052	554
655	1053	552
656	1054	550
657	1055	548
658	1056	546
659	1057	544
660	1059	543
661	1060	541
662	1061	539
663	1063	537
664	1064	536
665	1065	534
666	1066	532
667	1068	531
668	1069	529
669	1070	527
670	1072	525
671	1073	523
672	1074	522
673	1075	520
674	1077	518
675	1078	516
676	1079	515
677	1081	513
678	1082	511
679	1083	509
680	1085	508
681	1086	506
682	1087	504
683	1088	503
684	1090	501
685	1091	499
686	1092	497
687	1094	496
688	1095	494
689	1096	492
690	1098	491
691	1099	489
692	1100	487
693	1101	485
694	1103	484
695	1104	482
696	1105	480
697	1107	478
698	1108	477
699	1109	475
700	1110	473
